Year,SMW,Date,Crop_Week,Location,Longitude,Latitude,JS 95-60,JS-335,Shivalik,JS93-05,Punjab1,PK -472,Monetta,NRC-7,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,No_of_Rainy_Days,Rainfall,Wind_Velocity,Disease,,
2021,27,02-07-2021 to 08-07-2021,1,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,35.7,26.7,74.7,50.3,1,15,5.3,Charcoal Rot,,
2021,28,09-07-2021 to 15-07-2021,2,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.3,25.1,85.1,58.3,2,33.2,3.3,Charcoal Rot,,
2021,29,16-07-2021 to 22-07-2021,3,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,33.4,25.4,84.1,70,3,35.4,3.9,Charcoal Rot,,
2021,30,23-07-2021 to 29-07-2021,4,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,27.7,23.8,94.6,85.1,5,130.4,5.7,Charcoal Rot,,
2021,31,30-07-2021 to 05-08-2021,5,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,26.8,23.4,91.1,84.1,6,43.7,8,Charcoal Rot,,
2021,32,06-08-2021 to 12-08-2021,6,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,28.5,24.2,90,79,2,11.1,6.2,Charcoal Rot,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,79.97,23.19,0,0,0,0,0,0,0,0,32.6,24.7,89,71,3,42.3,3.3,Charcoal Rot,,
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,79.97,23.19,2,0,0,0,0,0,1.5,0,30.7,24.7,87,67,0,2.2,4.3,Charcoal Rot,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,79.97,23.19,14.5,0,6.5,6.5,0,1,13,0,31.6,24.5,86,68,0,2.5,3.4,Charcoal Rot,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,79.97,23.19,38,0,17.5,28,4,12,35.5,0,31.4,24.1,91,78,4,35.7,3.5,Charcoal Rot,,
2021,37,10-09-2021 to 16-09-2021,11,Jabalpur,79.97,23.19,49,6,28.5,42.5,11,23,49,1,30,23.8,93,81,4,100.8,3,Charcoal Rot,,
2021,38,17-09-2021 to 23-09-2021,12,Jabalpur,79.97,23.19,48,12,45.5,46,17.5,51.5,59,4.5,30.9,23.6,89,68,2,16.3,3.1,Charcoal Rot,,
2021,39,24-09-2021 to 30-09-2021,13,Jabalpur,79.97,23.19,-,14.5,51,-,18.5,62.5,69.5,8,31.9,24.1,88,62,1,3.8,3.3,Charcoal Rot,,
